Affiliations	Record Count	% of 9.977
BEIJING UNIVERSITY OF POSTS TELECOMMUNICATIONS	322	3.227
CHINESE ACADEMY OF SCIENCES	186	1.864
XIDIAN UNIVERSITY	160	1.604
UNIVERSITY OF ELECTRONIC SCIENCE TECHNOLOGY OF CHINA	158	1.584
TSINGHUA UNIVERSITY	113	1.133
EGYPTIAN KNOWLEDGE BANK EKB	112	1.123
NATIONAL INSTITUTE OF TECHNOLOGY NIT SYSTEM	108	1.082
BEIJING JIAOTONG UNIVERSITY	103	1.032
CENTRAL SOUTH UNIVERSITY	103	1.032
PENG CHENG LABORATORY	103	1.032
SHANGHAI JIAO TONG UNIVERSITY	102	1.022
KING SAUD UNIVERSITY	101	1.012
INDIAN INSTITUTE OF TECHNOLOGY SYSTEM IIT SYSTEM	98	0.982
ZHEJIANG UNIVERSITY	97	0.972
NANYANG TECHNOLOGICAL UNIVERSITY	95	0.952
UNIVERSITY SYSTEM OF GEORGIA	95	0.952
UNIVERSITY OF CALIFORNIA SYSTEM	91	0.912
TECHNISCHE UNIVERSITAT WIEN	89	0.892
UNIVERSITY OF TEXAS SYSTEM	89	0.892
UNIVERSITY OF LONDON	87	0.872
DALIAN UNIVERSITY OF TECHNOLOGY	86	0.862
UNIVERSITY OF BOLOGNA	86	0.862
TIANJIN UNIVERSITY	83	0.832
UNIVERSITY OF MESSINA	83	0.832
HUAZHONG UNIVERSITY OF SCIENCE TECHNOLOGY	82	0.822
UNIVERSITY OF QUEBEC	82	0.822
SOUTHEAST UNIVERSITY CHINA	80	0.802
KYUNG HEE UNIVERSITY	79	0.792
SHENZHEN UNIVERSITY	78	0.782
SOUTH CHINA UNIVERSITY OF TECHNOLOGY	78	0.782
BEIJING UNIVERSITY OF TECHNOLOGY	77	0.772
SUN YAT SEN UNIVERSITY	77	0.772
DEAKIN UNIVERSITY	75	0.752
UNIVERSITY OF SYDNEY	75	0.752
UNIVERSITY OF OULU	74	0.742
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	73	0.732
NANJING UNIVERSITY OF INFORMATION SCIENCE TECHNOLOGY	73	0.732
NATIONAL UNIVERSITY OF DEFENSE TECHNOLOGY CHINA	73	0.732
NANJING UNIVERSITY OF POSTS TELECOMMUNICATIONS	72	0.722
CHONGQING UNIVERSITY OF POSTS TELECOMMUNICATIONS	70	0.702
BEIHANG UNIVERSITY	68	0.682
HONG KONG POLYTECHNIC UNIVERSITY	68	0.682
STATE UNIVERSITY OF NEW YORK SUNY SYSTEM	68	0.682
UNIVERSITY OF TECHNOLOGY SYDNEY	67	0.672
COMSATS UNIVERSITY ISLAMABAD CUI	66	0.662
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION PCSHE	65	0.651
BEIJING INSTITUTE OF TECHNOLOGY	64	0.641
SEJONG UNIVERSITY	63	0.631
CARLETON UNIVERSITY	62	0.621
XI AN JIAOTONG UNIVERSITY	62	0.621
PRINCE SATTAM BIN ABDULAZIZ UNIVERSITY	61	0.611
STATE GRID CORPORATION OF CHINA	60	0.601
VELLORE INSTITUTE OF TECHNOLOGY VIT	60	0.601
KING ABDULAZIZ UNIVERSITY	59	0.591
UNIVERSITY OF HOUSTON	59	0.591
UNIVERSITY OF HOUSTON SYSTEM	59	0.591
QATAR UNIVERSITY	58	0.581
